,lat,long,dissemination_area,quest,ville,codep,rta,arron,debut,mess1,q1,q2_m1,q2_m2,q2_m3,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_m1,q14_m2,q14_m3,q15,q16,q17,q18,q19,q20,q20a,q21,q22,q23,q24,q25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,pond
406,45.582019,-73.576949,24660226,2282,SAINT-LEONARD,H1S2B8,H1S,15,1,1,1,1, , ,2,3,2,2,2,2,1,2,2,1,1, , , ,2,1,4,4,3,2,2,2,5,2,1,1,1,2,1,3,3,1,2,2,1,1,1,0.98007152863766
837,45.560323,-73.595101,24660248,6029,MONTREAL,H2A2W5,H2A,6,1,1,1,2, , ,2,3,2,2,2,1,1,1,2,1,2, , , ,1,1,4,4,3,2,2,1,5,1,1,2,2,1,1,3,3,1,1,1,1,1,1,2.30148156975812
222,45.547687,-73.640649,24662612,1341,MONTREAL,H2M1T1,H2M,9,1,1,1,2, , ,2,1,2,2,2,2,2,2,2,1,2, , , ,2,1,4,2,4,1, ,2,4,2,1,2,2,2,1,3,2,2,2,2,1,1,1,0.98007152863766
280,45.667826,-73.551657,24662940,1639,MONTREAL,H1C2E7,H1C,3,1,1,2, , , , , , , , , , , , , , ,1,5,4,4,4,4,2,4,1, ,2,9,2,1,1,1,4,3,3,2,2,2,2,1,2, ,0.71318334403313
810,45.451878,-73.83578,,5473,MONTREAL,H9R,H9R,22,1,1,2, , , , , , , , , , , , , , ,1, , ,2,1,4,4,2,2,1,1,6,1,2,3,3,2,1,3,3,1,1,1,2,2, ,0.91357010076408
130,45.444419,-73.729432,24662236,881,DORVAL,H9S3T7,H9S,20,1,1,1,2, , ,4,2,1,2,2,2,1,1,1,1,1, , , ,4,4,1,1,4,2,0,1,3,2,1,3,3,4,3,1,1,2,1,2,1,1,3,0.71318334403313
315,45.58101,-73.643751,24662712,1791,MONTREAL-NORD,H1H5E3,H1H,14,1,1,2, , , , , , , , , , , , , , ,5, , ,2,2,2,2,2,2,0,2,9,2,1,1,1,2,1,1,2,1,2,2,1,2, ,0.98007152863766
29,45.489383,-73.591549,24661073,171,WESTMOUNT,H3Y3J2,H3Y,8,1,1,2, , , , , , , , , , , , , , ,5, , ,4,4,4,4,4,2,0,1,9,1,1,2,2,4,3,3,3,2,1,1,1,2, ,0.5614779907308399
446,45.449835,-73.601669,24661010,2532,MONTREAL,H4E2M9,H4E,5,1,1,2, , , , , , , , , , , , , , ,1, , ,2,3,3,4,2,2,2,2,1,1,1,2,2,2,2,2,3,1,2,1,1,2, ,0.91357010076408
518,45.498653,-73.680966,24663264,3143,SAINT-LAURENT,H4M2A3,H4M,27,1,1,2, , , , , , , , , , , , , , ,4, , ,2,1,4,4,2,6,4,2,1,1,1,3,3,2,1,3,3,1,2,1,1,2, ,0.91357010076408
